Question,Option1,Option2,Option3,Option4,Correct Answer
Filaments of newly formed rRNA are located within......of nucleolus.,Nucleolar organizer region,Pars fibrosa,Pars granulosa,Light area,B
Two equal p and q chromosomal arms are noticed in chromosomes,Submetacentric,Metacentric,Acrocentric,Telocentric,B
Which of the following is true about heterochromatin,prominent in active cells,lightly stained,less compact,prominent in inactive cells,D
The attachment points for spindle fibers is,Kinetochores,Telomeres,q arms,p arms,A
Which one of the following is a morphological feature of apoptosis,Chromatin aggregation,Euchromatic nucleus,Swollen cell membrane,Inflammatory cells infiltration,A
In human somatic cells the cell cycle lasts about 18 hours and the phase takes up about 1/3 of that time,G1,G2,S,M,C
Which type of stem cells that only produce closely related cells,Multipotent,Totipotent,Pluripotent,Oligopotent stem cells,D
Regarding stable tissue,Never enter G0 stage of the cell cycle,These cells are capable of dividing in response to injury or loss of tissue mass.,These cells are not capable of dividing in response to injury or loss of tissue mass.,These cells are terminally differentiated and non-proliferative in postnatal life.,B
Which of the following cell membrane modifications is made of microtubules,Microvilli,Stereocilia,Cilia,Desmosome,C
Which of the following is not considered as a part of the junctional complex,Tight junction,Zonula adherens,Desmosome,Gap junction,D
Longest lymphatic channel carry lymph from the greater remaining parts of the body,Thoracic duct,Right lymphatic duct,Left subclavian trunk,Left jugular trunk,A
An example of primary lymphoid tissue,Spleen,Lymph node,Tonsil,Thymus gland,D
The middle part of the pharynx is called,Nasopharynx,Oropharynx,Laryngopharynx,Pharyngeal isthmus,B
If foreign body is inhaled you suspect it will be found at,Larynx,Trachea,right bronchus,left bronchus,C
The organs that facilitate the processes of digestion and absorption are called,Alimentary canal,accessory digestive organs,small intestine,Large intestine,B
Which part closes the larynx during swallowing,Uvula,Soft palate,Epiglottis,Tongue,C
Medial bone of forearm,Radius,Ulna,Humerus,Hamate,B
An example of axial skeleton,Scapula,Clavicle,Sternum,Hip bone,C
Aorta arises from,Right ventricle,Right atrium,Left ventricle,Left atrium,C
Pulmonary trunk arises from,Right ventricle,Right atrium,Left ventricle,Left atrium,A
Esophagus pierces the diaphragm at level of,T8 vertebra,T9 vertebra,T10 vertebra,T11 vertebra,C
Right border of the stomach called,the lesser curvature,the greater curvature,the fundus,the pylorus,B
Portal hepatis of the liver contains,portal artery and vein,portal vein and hepatic artery,hepatic artery and vein,portal artery and hepatic vein,B
The narrowest part of large intestine is,Caecum,Ileum,Jejunum,Appendix,A
A curved long bone which transmits weight from upper limb to the trunk,Humerus,Clavicle,Carpal bone,Tarsal bone,B
The main function of intrinsic foot muscles is,Plantar flexion of foot,dorsiflexion of foot,Keeping foot arches,Eversion of foot,C
Calf muscles act on the ankle joint to make,Plantar flexion of foot,dorsiflexion of foot,eversion of the foot,inversion of the foot,A
It forms the top of shoulder as a lateral continuation of the spine of scapula,Spine,Glenoid cavity,Coracoid,Acromion,D
Which statement is true about epithelial cells,Cells are separated by wide extracellular space.,Cells are vascularized and innervated.,Cells have morphological polarity.,Characterized by poor power of regeneration.,C
Chromosome with centromere in the center and 2 equal arms represented as chromosome,Submetacentric,Metacentric,Acrocentric,Telocentric,B
Euchromatin is,Compact non-visible.,Contains genes that expressed by the cell.,Plays no role in protein synthesis.,darkly stained,B
A picture of a person's chromosomes is called a,karyotype,syndrome,chromatin,fingerprint,A
Liver tissue is considered as,permanent tissue,stable tissue,labile tissue,undifferentiated cell collection,B
which of the following events is not a character of apoptosis,phagocytosis,inflammation,condensation of chromatin,fragmentation of the cell into small membranous components,B
Progenitor cells are,Totipotent stem cell,Pluripotent stem cell,Unipotent differentiated stem cell,Adult stem cell,C
Haploid number of chromosomes is observed in,Sperms and liver cells,Ova and skin cells,Liver and skin cells,Sperms and ova,D
Example of avascular tissues is,Muscles,Joints,bones,cartilage,D
Apex of the heart is formed by,Right and Left atria,Right and Left ventricles,Right ventricle only,Left ventricle only,D
Its function is regulation of muscle tone and equilibrium,Spinal cord,Cerebrum,Cerebellum,Autonomic nervous system,C
Colorless collection of the extra fluid that drains from cells and tissues It's rich in WBCs,blood,CSF,lymph,Urine,C
Part of the nose forms the roof of nasal cavity it concerned with smell sensation,the vestibule,the respiratory region,the septum,the Olfactory region,D
Its wall is made up of hyaline cartilages to maintain its patency it is,nose,pharynx,larynx,lung,C
Kidneys are present on each side of the vertebral column at a level between,T10 to L1 vertebrae,T11 to L2 vertebrae,T12 to L3 vertebrae,L1 to L4 vertebrae,C
The ureter descends on the posterior abdominal wall to end into urinary bladder by oblique segment to,allow urine regurgitation back to the kidney,prevent urine regurgitation back to the kidney,prevent urine passage to the urinary bladder,allow urine passage to the urinary bladder,B
The site of spermatogenesis,penis,rete testis,scrotum,seminiferous tubules,D
Secretes alkaline fluid to neutralize the vaginal acidity,seminal vesicle,prostate,testis,epididymis,B
Eukaryotic cells means,Have no nucleus,Non true cell,True cell,Prokaryotic cell,C
Which is true about the Nucleolus,Formed of Light area and dark area,tRNA and mRNA are formed in it,Non membranous spherical acidophilic bodies,Its pars granulosa have accumulation of newly formed ribosomal subunits,A
Euchromatin is,Compact non-visible,Contains genes that expressed by the cell,Plays no role in protein synthesis,darkly stained,B
A picture of a person's chromosomes is called a,karyotype,syndrome,chromatin,fingerprint,A
Liver tissue is considered as,permanent tissue,stable tissue,labile tissue,undifferentiated cell collection,B
which of the following events is not a character of apoptosis,phagocytosis,inflammation,condensation of chromatin,fragmentation of the cell into small membranous components,B
Progenitor cells are,Totipotent stem cell,Pluripotent stem cell,Unipotent differentiated stem cell,Adult stem cell,C
Interphase consists of,G1 S and G2,G1 and G2,G1 S G2 and M,G0 G1 S and M,A
Which of the following cell membrane modifications is made of microtubules,Microvilli,Stereocilia,Cilia,Desmosome,C
